date,open,high,low,close,volume,labels
2020-04-20,336.4003,340.5003,323.2003,327.4003,74773696,0
2020-04-21,324.2003,327.2003,306.061,307.4003,26825416,0
2020-04-22,309.6003,318.5003,301.1003,312.6003,81875005,0
2020-04-23,310.0003,318.4003,306.5003,317.6003,15502119,0
2020-04-24,305.0003,312.8003,302.6003,310.2003,55482535,1
2020-04-27,320.0003,325.4091,304.7003,307.8003,31709980,0
2020-04-28,311.0003,322.7003,308.6003,319.5003,50630768,0
2020-04-29,321.9003,357.6003,318.7738,357.6003,39196430,0
2020-04-30,361.5003,378.0003,325.5003,330.0003,41278879,0
2020-05-01,320.0003,326.2003,312.1003,313.1003,14524111,0
2020-05-04,315.4003,317.7003,278.0002,291.4002,48077707,0
2020-05-05,295.0002,306.9733,290.6002,300.0003,30571325,0
2020-05-06,295.0002,304.6003,291.2314,293.7002,20176448,0
2020-05-07,294.3002,301.5003,277.1002,287.1002,72532202,0
2020-05-11,289.6002,291.4002,273.2002,282.6002,37877542,0
2020-05-12,282.5002,282.7002,273.0002,279.0002,24778229,0
2020-05-13,274.5002,283.1002,256.2002,257.9002,91684836,0
2020-05-14,255.0002,261.0002,235.5002,247.0002,44465220,0
2020-05-15,251.4002,256.9738,238.8652,249.7002,55252327,0
2020-05-18,251.6002,272.9002,249.5002,272.2002,30819512,0
2020-05-19,273.5002,277.7002,259.6002,267.6002,56207369,0
2020-05-20,264.5002,284.8002,254.4002,273.7002,64260510,0
2020-05-21,271.2002,297.0002,270.0002,283.3002,40620980,0
2020-05-22,281.5002,286.1272,273.3302,280.6002,81330721,0
2020-05-26,294.6002,319.4003,291.9002,314.8003,47524916,0
2020-05-27,322.0003,369.8003,320.7179,346.1003,77212006,0
2020-05-28,320.0003,332.3003,303.2003,319.0003,133343209,0
2020-05-29,301.0003,302.9003,271.6002,271.6002,160135038,0
2020-06-01,278.2002,292.4002,274.9002,286.5002,53967009,0
2020-06-02,290.3002,305.5003,285.2682,300.4003,46690952,0
2020-06-03,310.0003,333.9003,304.5003,328.2003,78465943,0
2020-06-04,328.0003,329.3003,310.138,324.0003,54349504,0
2020-06-05,329.9003,356.9092,322.1003,355.9003,70058516,0
2020-06-08,353.8003,412.1003,349.0003,398.4003,112358440,0
2020-06-09,414.8003,426.8004,364.3033,370.0003,135709922,0
2020-06-10,369.9003,388.9862,340.4003,353.3003,84184102,0
2020-06-11,342.8003,347.1003,315.3353,321.6003,58847654,0
2020-06-12,315.2003,345.7003,308.0003,327.5003,49443134,0
2020-06-15,314.6003,326.4003,304.1003,323.8003,39339683,0
2020-06-16,339.9003,353.7003,328.8003,336.2003,38850477,0
2020-06-17,336.0003,347.7003,324.6003,332.1003,26466530,0
2020-06-18,329.9003,337.1003,321.3003,335.5003,23653433,0
2020-06-19,337.3003,340.1003,332.3733,334.2003,32296893,0
2020-06-22,328.8003,337.4003,318.7003,319.3003,74848359,0
2020-06-23,323.9003,334.9003,317.5003,317.8003,24903625,0
2020-06-24,317.8003,327.5003,300.2003,300.2003,37605897,0
2020-06-25,297.6002,300.2003,287.1002,295.4002,45209053,0
2020-06-26,300.9003,305.9003,284.5002,285.0002,38830924,0
2020-06-29,283.4002,295.3002,279.7002,289.6002,29727102,0
2020-06-30,290.7002,293.8002,280.4002,285.4002,28226604,0
2020-07-01,283.6002,292.9002,269.3002,285.6002,54460589,0
2020-07-02,291.9002,305.9003,285.5002,292.5002,33150003,0
2020-07-03,294.3002,297.5002,258.5002,263.2002,65021539,0
2020-07-06,273.8002,283.5002,271.3002,280.9002,54169301,0
2020-07-07,280.0002,284.7553,274.8002,277.5002,41204572,0
2020-07-08,279.2002,289.4002,274.3002,287.8002,41854079,0
2020-07-09,292.8002,297.5002,256.3002,256.3002,91162462,0
2020-07-10,255.0002,266.7002,251.702,266.7002,40797162,0
2020-07-13,271.0002,276.8002,265.655,267.8002,25904077,0
2020-07-14,265.1002,267.6002,253.8002,258.2002,27933173,0
2020-07-15,263.5002,273.9259,262.3952,272.2002,40389665,0
2020-07-16,275.0002,278.8502,262.0762,267.7002,31150196,0
2020-07-17,272.0002,272.276,258.7002,264.4002,30081448,0
2020-07-20,264.6002,266.1002,257.3002,264.8002,20755284,0
2020-07-21,268.3002,285.6002,265.5002,285.6002,117792277,0
2020-07-22,286.0002,292.9241,273.6002,281.5002,31257985,0
2020-07-23,281.0002,288.0002,271.2002,271.6002,22412361,0
2020-07-24,266.2002,271.1002,262.0002,268.1002,21838829,0
2020-07-27,267.5002,267.5002,251.5002,260.0002,33012724,0
2020-07-28,261.7002,264.6202,251.855,262.6002,23419568,0
2020-07-29,262.0002,268.6002,253.0002,253.1002,31957584,0
2020-07-30,254.0002,255.2002,238.2002,245.3002,30576949,0
2020-07-31,245.7002,247.0002,231.6002,231.6002,30744971,0
2020-08-03,231.7002,232.2002,212.1002,230.4002,40554977,0
2020-08-04,230.6002,248.8002,230.3002,245.3002,27835216,0
2020-08-05,246.1002,258.5002,246.1002,258.5002,37669947,0
2020-08-06,260.9002,262.4002,245.4002,253.1002,24499937,0
2020-08-07,251.0002,252.8342,242.1002,252.6002,17185840,0
2020-08-10,255.7002,265.7002,252.7002,265.7002,19016436,0
2020-08-11,267.9002,282.5502,267.2369,273.7002,76676266,0
2020-08-12,273.0002,279.7002,264.7002,271.4002,24415590,0
2020-08-13,270.0002,273.9002,265.1002,267.7002,22043294,0
2020-08-14,267.0002,268.8002,252.8002,257.1002,18530706,0
2020-08-17,257.0002,260.5002,247.3915,257.3002,19883941,1
2020-08-18,254.0002,259.8002,250.5631,255.0002,19466326,0
2020-08-19,256.4002,262.4497,250.5002,262.3002,10645492,0
2020-08-20,255.2002,256.9002,251.7002,256.0002,17473177,1
